Field,Default,en,es,pt,it
Title.NewGame,,New game,Nuevo Juego,Novo Jogo,Nuovo Gioco
Title.Store,,Store,Tienda,Loja,Shop
Title.Settings,,Settings,Configuración,Configuração,Impostazione
Title.Version,,Version,Versión,Versão,Versione
Title.Planet,,Select a planet,Selecciona un Planeta,Selecione um Planeta,Seleziona un Pianeta
Title.Reward,,Daily reward,Recompensa Diaria,Recompensa Diária,Premio quotidiano
Title.Rate,,"Rate ""The Gurons""","Calificar  ""The Gurons""","Qualificar ""The Gurons""","Valuta ""The Gurons"""
Title.Score,,Score:,Puntaje:,Pontuacão:,Punteggio
Title.Best,,Record,Record,Recorde,Record
Title.Pause,,Pause,Pausa,Pausa,Pausa
Title.Congrats,,Congratulations!,¡¡Felicitaciones!!,Parabéns,Congratulazioni!!
Title.ProductDescription,,Contains:,Contiene:,Contém,Contenuto
Title.NoGameLife,,Wait a moment!,¡Un Momento!,¡Um Momento!,Un attimo!
Title.ScratchWin,,Scrape and win,Raspa & Gana,Raspa e Ganha,Gratta eVince
Title.Scratch,,Scrape!,¡¡Raspa!!,Raspa!!,Gratta!
Title.Achievements,,Achievements,Logros,Conquistas,Realizzazioni
Title.AchievementUnlocked,,Achievement unlocked,Logro Desbloqueado,Conquista desbloqueada,Obiettivo sbloccato
Planet.Gravity,,Gravity,Gravedad,Gravidade,Gravità
Planet.Wind,,Wind,Viento,Vento,Vento
Planet.Progress,,Progress ,Progreso,Progresso,Progresso
Planet.Best,,Best score,Mejor Puntaje,Melhor Pontuação,Migliore Punteggio
Planet.Normal,,Play with no end and unlock new planets,Juega sin fin y desbloquea nuevos planetas,Joga sem parar y desbloqueia novos planetas,Gioca senza fine e sblocca nuovi pianeti
Planet.Play,,Play,Jugar,Jogar,Giocare
Planet.Unlocked.Title,,Unlocked planet,Planeta Desbloqueado,Planeta Desbloqueado,Pianeta Sbloccato
Planet.Unlocked.Message,,You have unlocked the planet {0},Has desbloqueado el planeta {0},Você desbloqueou o planeta {0},Hai sbloccato il pianeta {0}
Store.Lifes,,Lives,Vidas,Vidas,Vite
Store.Diamonds,,Diamonds,Diamantes,Diamantes,Diamanti
Store.Failed,,Failed purchase,Compra Fallida,Falha na compra,Acquisto fallito
Store.Free,,Free,Gratis,Grátis,Gratis
Store.Failed.Unknown,,Unable to complete purchase,No se ha podido completar la compra,A compra não concluiu,Non sei riuscito a fare l'acquisto
Store.Failed.PaymentDeclined,,your payment was declined,Pago rechazado,Pagamento recusado,Pagamento rifiutato
Store.Failed.ProductUnavailable,,Product not available,Producto no disponible,Produto não disponível ,Prodotto non disponibile
Store.Failed.UserCancelled,,User has canceled the transaction,Usuario ha cancelado la transacción,O usuário cancelou a transacão ,L'utente ha cancelato l'operazione
Store.Failed.InsufficientFounds,,Insufficient diamonds,Diamantes Insuficientes,Diamantes Insuficientes,Diamanti insufficienti
Store.Failed.InsufficientCoins,,Insufficient coins,Monedas Insuficientes,Moedas Insuficientes,Monete insufficienti
Store.Completed,,Successful purchase,Compra Exitosa,Compra bem Sucedida,Acquisto riuscito
Store.Completed.Message,,Purchased product: <b><i>{0}</i></b>,Producto comprado: <b><i>{0}</i></b>,Produto Comprado: <b><i>{0}</i></b>,Prodotto acquistato: <b><i>{0}</i></b>
Setting.LangTitle,,Language,Idioma,Idioma,Linguaggio
Settings.Language,,English,Español,Português,Italiano
Settings.Master,,General,General,Geral,Generale
Settings.Music,,Music,Musica,Música,Musica
Settings.Sfx,,Sound,Sonido,Som,Suono
Settings.Restore,,Restore,Restaurar,Restaurar,Ristabilire
Button.Unlock,,Unlock,Desbloquear,Desbloquear,Sbloccare
Buttons.Back,,Return,Volver,Voltar,Ritornare
Button.Play,,Play,Jugar,Jogar,Giocare
Button.Retry,,Retry,Reintentar,Tentar de novo,Riprova
Button.Continue,,Continue,Continuar,Continuar,Continuare
Button.RateNow,,Rate,Calificar,Qualificar,Valutare
Button.RateLater,,Later,Más Tarde,Mais Tarde,Più tardi
Button.RateNever,,No. thanks,No. Gracias,Não. Obrigado,No. Grazie
Button.Buy,,Purchase,Comprar,Comprar,Comprare
Button.Ads,,Watch ads,Ver Publicidad,Ver Publicidade,Guardare la pubblicità
Button.Menu,,Menu,Menú,Menu,Menù del gioco
Button.Restart,,Restart,Reiniciar,Reiniciar,Riavviare
Button.Quit,,Exit,Salir,Sair,Uscire
Button.Keep,,Keep playing,Seguir Jugando,Continuar Jogando,Continuare la partita
Button.NextPlanet,,Go to the selection,Ir a selección,Ir a selecao,Andare alla selezione
Button.TutorialSkip,,Skip,Saltar,Pular ,Saltare
Button.UpdateApp,,Reload,Actualizar,Atualizar,Aggiornare
Button.Privacy,,Privacy,Privacidad,Privacidade,Privacy
Button.Reclaim,,Reclaim,Reclamar,Recuperar,Reclamare
one_life_bag.name,,A life,Una Vida,Uma Vida ,Una vita
one_life_bag.description,,A new life to keep playing,Una nueva vida para seguir jugando,Uma vida nova para continuar jogando,Una nuova vita per continuare a giocare
lifes_3_bag.name,,A small bottle,Botella pequeña,Garrafa pequena,Bottiglia piccola
lifes_3_bag.description,,- 3 lives,- 3 vidas,-3 vidas, - 3 vite
lifes_15_bag.name,,Medium bottle,Botella mediana,Garrafa média,Bottiglia Media
lifes_15_bag.description,,- 15 lives,- 15 vidas,-15 vidas, - 15 vite
lifes_25_bag.name,,Big bottle,Botella grande,Garrafa grande,Bottiglia Grande
lifes_25_bag.description,,- 25 lives,- 25 vidas,-25 vidas, - 25 vite
diamonds_25_bag.name,,Small bag,Bolsa pequeña,Bolsa pequena,Borsa piccola
diamonds_25_bag.description,,25 diamonds,- 25 diamantes,-25 diamantes, - 25 diamanti
diamonds_60_bag.name,,Medium bag,Bolsa mediana,Bolsa média,Borsa media
diamonds_60_bag.description,,- 60 diamonds,- 60 diamantes,-60 diamantes, - 60 diamanti
diamonds_100_bag.name,,Big bag,Bolsa grande,Bolsa grande,Borsa Grande
diamonds_100_bag.description,,- 100 diamonds,- 100 diamantes,-100 diamantes, - 100 diamanti
coins_400_bag.name,,Small box,Caja pequeña,Caixa pequena,Scattola piccola
coins_400_bag.description,,- 400 coins,- 400 monedas,-400 moedas, - 400 monete
coins_1000_bag.name,,Medium box,Caja mediana,Caixa média,Scattola media
coins_1000_bag.description,,- 1000 coins,- 1000 monedas,-1000 moedas, - 1000 monedas
coins_1800_bag.name,,Big box,Caja grande,Caixa grande,Scattola Grande
coins_1800_bag.description,,- 1800 coins,- 1800 monedas,-1800 moedas, - 1800 monete
extra_chance.name,,The chance,La oportunidad,A oportunidade,La opportunità
extra_chance.description,,- 1 extra chance,- 1 oportunidad extra,-1 oportunidade extra, - 1 opportunità extra
double_score.name,,double score,Doble Puntaje,Pontuacão dupla,Doppio punteggio
double_score.description,,A score multiplier,- 1 multiplicador de puntaje x2,-1 multiplicador de pontuacão X2, - 1 moltiplicatore di punteggio
Reward.Advice,,Watch videos to get daily prizes!,¡Mira videos para conseguir premios diarios!,Assista o video pra obter prêmios diários,Guarda videos per ottenere premi ogni giorno!
Reward.Prize,,Prize {0},Premio {0},Prêmio {0},Premio {0}
Reward.Unlock,,Watch a video to unlock,¡Mira un video para desbloquear!.,Assista o vídeo para desbloquear!!,Guarda un video per sbloccare!
Reward.Watch,,Watch,Ver,Ver,Guardare
Reward.Obtained,,Got it!,¡Obtenido!,Obtido,Ricevuto!
Msg.NoGameLife,,You will need more <color=red>Lives</color> to retry this level.,Necesitarás más <color=red>Vidas </color> para reintentar el nivel.,Voce precisa de mais <color=red>vidas </color>para tentar novamente o nível.,Avrai bisogno di più <color=red>vite </color> per riprovare questo livello.
Msg.NoMenuLife,,If you want to keep playing you can buy some lives in the store or watch some ads.,Si quieres seguir jugando; puedes comprar algunas vidas en nuestra tienda o ver algunos anuncios.,Se quiser continuar jogando; pode comprar algumas vidas em nossa loja ou ver algums anúncios ,Se vuoi continuare a giocare puoi comprare vite nello store
Msg.NoPowerup,,Do you want to buy this <color=red> Power Up</color> to use it?,¿Deseas comprar este <color=red>Poder</color> para utilizarlo?,Deseja comprar este <color=red> Poder </color> para usá-lo?,Vuoi comprare questo <color=red>Potere</color> ?
Msg.NewPlanet,,You have unlocked a new planet… check it on the planet section. ,Has desbloqueado un nuevo planeta.\nDescúbrelo en la selección de planetas.,Você desbloqueou um novo  planeta.\n Pode descobri-lo na seleção de planetas,Hai sbloccato un nuovo pianeta .\nScoprilo nella sezione dei pianeti
Msg.Wait,,Wait please,Por favor espera,Aguarde por favor.,Aspetta pe favore
Msg.Rate,,Are you enjoying The Gurons?\nDo you mind taking a moment to rate it? ,"Si disfrutas jugar ""The Gurons"". Te importara tomar un momento para calificarlo?","Ae gostou de jogar the gurons, se importaria de reservar um momento para avaliar?","Se hai goduto giocando  ""The Gurons"". Ti prendiresti un attimo per valutarlo?"
Msg.LanguageSetted,,The default language has been set in <b>English</b>,El lenguaje por defecto ha sido fijado en <b>Español</b>.,O idioma padrao foi definido em <b>português</b>,Il linguaggio predefinito è <b>Italiano</b>.
Msg.TutorialRetry,,Do you want to retry the tutorial?,¿Deséas reintentar el tutorial?,Deseja repetir o tutorial?,Vuoi riprovare il tutorial?
Msg.TutorialCongrats,,You have unlocked the planets selection,Has desbloqueado la seleccion de Planetas,Desbloqueou a seleção de planetas,Hai sbloccato la sezione dei pianeti
